ENSP00000436737	ENSG00000085063	ENST00000533403
ENSP00000412575	ENSG00000106052	ENST00000457186
ENSP00000390416	ENSG00000100083	ENST00000449944
ENSP00000423966	ENSG00000147168	ENST00000487883
ENSP00000449863	ENSG00000110871	ENST00000552443
ENSP00000449866	ENSG00000135451	ENST00000549275
ENSP00000412579	ENSG00000075711	ENST00000453607
ENSP00000449865	ENSG00000166704	ENST00000547121
ENSP00000423544	ENSG00000137207	ENST00000500090
ENSP00000423547	ENSG00000188981	ENST00000507492
ENSP00000423540	ENSG00000164253	ENST00000511791
ENSP00000423542	ENSG00000068796	ENST00000514082
ENSP00000423548	ENSG00000166839	ENST00000483400
ENSP00000482191	ENSG00000120948	ENST00000621790
ENSP00000376066	ENSG00000018625	ENST00000392233
ENSP00000461746	ENSG00000103274	ENST00000574334
ENSP00000392596	ENSG00000144485	ENST00000436051
ENSP00000392595	ENSG00000164828	ENST00000450881
ENSP00000392594	ENSG00000124243	ENST00000445038
ENSP00000476193	ENSG00000139684	ENST00000471867
ENSP00000476198	ENSG00000108848	ENST00000513025
ENSP00000476199	ENSG00000115641	ENST00000607522
ENSP00000394289	ENSG00000135720	ENST00000443351
ENSP00000385507	ENSG00000169519	ENST00000406787
ENSP00000394280	ENSG00000092758	ENST00000452372
ENSP00000477827	ENSG00000151150	ENST00000610321
ENSP00000477825	ENSG00000275736	ENST00000621284
ENSP00000342641	ENSG00000148814	ENST00000344079
ENSP00000461842	ENSG00000141086	ENST00000571044
ENSP00000461843	ENSG00000187838	ENST00000575434
ENSP00000392629	ENSG00000063660	ENST00000425056
ENSP00000421378	ENSG00000113161	ENST00000509085
ENSP00000485618	ENSG00000075292	ENST00000494621
ENSP00000421374	ENSG00000143257	ENST00000502985
ENSP00000421375	ENSG00000133138	ENST00000481617
ENSP00000485617	ENSG00000164151	ENST00000512608
ENSP00000421377	ENSG00000154864	ENST00000503781
ENSP00000458145	ENSG00000154975	ENST00000575097
ENSP00000421373	ENSG00000150625	ENST00000513667
ENSP00000447480	ENSG00000111231	ENST00000550974
ENSP00000484562	ENSG00000271447	ENST00000612292
ENSP00000453829	ENSG00000041357	ENST00000560217
ENSP00000431129	ENSG00000136153	ENST00000526202
ENSP00000422631	ENSG00000164307	ENST00000508227
ENSP00000453821	ENSG00000128928	ENST00000558610
ENSP00000422638	ENSG00000159733	ENST00000509171
ENSP00000453824	ENSG00000189227	ENST00000557807
ENSP00000453827	ENSG00000138606	ENST00000558685
ENSP00000374519	ENSG00000100503	ENST00000389869
ENSP00000473348	ENSG00000049239	ENST00000602477
ENSP00000364540	ENSG00000150403	ENST00000375391
ENSP00000473342	ENSG00000147526	ENST00000520340
ENSP00000442242	ENSG00000041982	ENST00000542877
ENSP00000473340	ENSG00000250722	ENST00000507920
ENSP00000473341	ENSG00000161249	ENST00000472252
ENSP00000470690	ENSG00000231924	ENST00000597058
ENSP00000470693	ENSG00000160460	ENST00000595535
ENSP00000470692	ENSG00000104973	ENST00000593767
ENSP00000420779	ENSG00000164091	ENST00000469000
ENSP00000431696	ENSG00000172757	ENST00000534769
ENSP00000438804	ENSG00000135100	ENST00000544413
ENSP00000431698	ENSG00000185187	ENST00000528058
ENSP00000420776	ENSG00000006530	ENST00000473247
ENSP00000343517	ENSG00000091879	ENST00000338312
ENSP00000476443	ENSG00000149600	ENST00000474815
ENSP00000476446	ENSG00000198522	ENST00000610189
ENSP00000476444	ENSG00000139725	ENST00000537265
ENSP00000477318	ENSG00000154914	ENST00000573955
ENSP00000477311	ENSG00000154864	ENST00000579949
ENSP00000477316	ENSG00000163006	ENST00000608781
ENSP00000432767	ENSG00000254852	ENST00000530328
ENSP00000432766	ENSG00000060749	ENST00000527788
ENSP00000432764	ENSG00000236287	ENST00000528289
ENSP00000432762	ENSG00000159314	ENST00000532038
ENSP00000409440	ENSG00000099977	ENST00000428792
ENSP00000428675	ENSG00000157110	ENST00000517860
ENSP00000432769	ENSG00000160593	ENST00000524477
ENSP00000471873	ENSG00000142534	ENST00000594493
ENSP00000471870	ENSG00000269533	ENST00000596617
ENSP00000436474	ENSG00000174672	ENST00000533606
ENSP00000471876	ENSG00000196705	ENST00000598331
ENSP00000436472	ENSG00000112339	ENST00000529169
ENSP00000436471	ENSG00000176148	ENST00000528962
ENSP00000471875	ENSG00000161558	ENST00000598926
ENSP00000381508	ENSG00000141644	ENST00000398495
ENSP00000436479	ENSG00000187486	ENST00000528992
ENSP00000467871	ENSG00000108799	ENST00000585893
ENSP00000467873	ENSG00000186566	ENST00000592154
ENSP00000467872	ENSG00000167281	ENST00000580508
ENSP00000467879	ENSG00000092931	ENST00000590393
ENSP00000467878	ENSG00000130244	ENST00000589408
ENSP00000463553	ENSG00000091583	ENST00000581797
ENSP00000463558	ENSG00000173482	ENST00000578916
ENSP00000273794	ENSG00000145198	ENST00000273794
ENSP00000263440	ENSG00000088035	ENST00000263440
ENSP00000409023	ENSG00000122085	ENST00000424798
ENSP00000445819	ENSG00000177192	ENST00000544213
ENSP00000403125	ENSG00000115091	ENST00000443297
ENSP00000403120	ENSG00000150938	ENST00000413985
ENSP00000408719	ENSG00000164048	ENST00000440261
ENSP00000387216	ENSG00000221823	ENST00000409752
ENSP00000387217	ENSG00000188064	ENST00000410058
ENSP00000387214	ENSG00000180347	ENST00000409210
ENSP00000387212	ENSG00000198612	ENST00000409334
ENSP00000387213	ENSG00000115282	ENST00000410003
ENSP00000387210	ENSG00000136689	ENST00000409052
ENSP00000373355	ENSG00000144455	ENST00000383843
ENSP00000419178	ENSG00000105948	ENST00000478836
ENSP00000474759	ENSG00000263961	ENST00000603378
ENSP00000481829	ENSG00000277414	ENST00000610568
ENSP00000474750	ENSG00000133131	ENST00000604604
ENSP00000474751	ENSG00000109670	ENST00000604872
ENSP00000474753	ENSG00000154493	ENST00000480379
ENSP00000474754	ENSG00000139445	ENST00000468516
ENSP00000429366	ENSG00000177556	ENST00000521264
ENSP00000408991	ENSG00000120694	ENST00000435381
ENSP00000422197	ENSG00000071242	ENST00000507350
ENSP00000402175	ENSG00000127989	ENST00000456229
ENSP00000431908	ENSG00000087365	ENST00000533595
ENSP00000431909	ENSG00000184588	ENST00000528771
ENSP00000380292	ENSG00000077782	ENST00000397103
ENSP00000469564	ENSG00000105048	ENST00000586649
ENSP00000431900	ENSG00000117834	ENST00000533824
ENSP00000469566	ENSG00000188171	ENST00000595405
ENSP00000452086	ENSG00000151812	ENST00000556826
ENSP00000431904	ENSG00000116337	ENST00000527846
ENSP00000472752	ENSG00000063127	ENST00000597969
ENSP00000435032	ENSG00000110721	ENST00000531341
ENSP00000402170	ENSG00000116260	ENST00000443059
ENSP00000405602	ENSG00000131503	ENST00000412116
ENSP00000452700	ENSG00000126778	ENST00000554986
ENSP00000452707	ENSG00000128965	ENST00000487220
ENSP00000452705	ENSG00000140199	ENST00000560164
ENSP00000452704	ENSG00000137845	ENST00000558004
ENSP00000405608	ENSG00000154479	ENST00000421028
ENSP00000428102	ENSG00000120896	ENST00000520563
ENSP00000404552	ENSG00000115694	ENST00000420551
ENSP00000428104	ENSG00000008988	ENST00000523936
ENSP00000428106	ENSG00000215262	ENST00000518904
ENSP00000404558	ENSG00000112319	ENST00000431403
ENSP00000379055	ENSG00000177427	ENST00000395703
ENSP00000379057	ENSG00000177427	ENST00000395706
ENSP00000379053	ENSG00000025770	ENST00000395701
ENSP00000379052	ENSG00000149084	ENST00000395700
ENSP00000460776	ENSG00000108798	ENST00000573347
ENSP00000402385	ENSG00000110958	ENST00000436399
ENSP00000430053	ENSG00000157168	ENST00000518104
ENSP00000430052	ENSG00000169629	ENST00000496537
ENSP00000460771	ENSG00000174238	ENST00000573231
ENSP00000460770	ENSG00000159842	ENST00000575934
ENSP00000383019	ENSG00000170579	ENST00000400155
ENSP00000475400	ENSG00000169554	ENST00000462355
ENSP00000383014	ENSG00000170579	ENST00000400150
ENSP00000383015	ENSG00000185619	ENST00000400151
ENSP00000383013	ENSG00000170579	ENST00000400149
ENSP00000468218	ENSG00000166377	ENST00000586672
ENSP00000468214	ENSG00000108309	ENST00000590941
ENSP00000468215	ENSG00000105171	ENST00000586420
ENSP00000468216	ENSG00000166974	ENST00000591734
ENSP00000468217	ENSG00000081665	ENST00000587461
ENSP00000468212	ENSG00000181007	ENST00000445543
ENSP00000468213	ENSG00000130803	ENST00000591508
ENSP00000410288	ENSG00000135164	ENST00000454008
ENSP00000352161	ENSG00000101019	ENST00000359226
ENSP00000330629	ENSG00000150401	ENST00000332592
ENSP00000467468	ENSG00000129667	ENST00000591860
ENSP00000435104	ENSG00000164830	ENST00000521592
ENSP00000360141	ENSG00000087460	ENST00000371100
ENSP00000360140	ENSG00000087460	ENST00000371099
ENSP00000360143	ENSG00000087460	ENST00000371102
ENSP00000435101	ENSG00000120341	ENST00000527976
ENSP00000446933	ENSG00000196531	ENST00000546862
ENSP00000446932	ENSG00000123329	ENST00000551452
ENSP00000446934	ENSG00000127329	ENST00000547715
ENSP00000436586	ENSG00000131269	ENST00000529949
ENSP00000418540	ENSG00000154917	ENST00000469959
ENSP00000418544	ENSG00000183763	ENST00000482582
ENSP00000389225	ENSG00000153094	ENST00000438054
ENSP00000423668	ENSG00000160712	ENST00000476006
ENSP00000467792	ENSG00000184640	ENST00000586128
ENSP00000467793	ENSG00000064545	ENST00000587915
ENSP00000467796	ENSG00000127616	ENST00000586985
ENSP00000462806	ENSG00000133193	ENST00000579872
ENSP00000436588	ENSG00000177947	ENST00000525282
ENSP00000378095	ENSG00000164093	ENST00000394595
ENSP00000462809	ENSG00000173482	ENST00000583153
ENSP00000473190	ENSG00000198300	ENST00000598410
ENSP00000464848	ENSG00000141391	ENST00000587735
ENSP00000464845	ENSG00000108666	ENST00000581747
ENSP00000464843	ENSG00000105048	ENST00000587465
ENSP00000435819	ENSG00000174151	ENST00000496961
ENSP00000444798	ENSG00000100221	ENST00000545590
ENSP00000435810	ENSG00000134910	ENST00000525652
ENSP00000352479	ENSG00000170423	ENST00000359499
ENSP00000460618	ENSG00000134419	ENST00000569083
ENSP00000445779	ENSG00000132950	ENST00000502168
ENSP00000445770	ENSG00000128973	ENST00000538696
ENSP00000444428	ENSG00000183735	ENST00000539810
ENSP00000444421	ENSG00000076043	ENST00000539119
ENSP00000444422	ENSG00000072110	ENST00000544964
ENSP00000444425	ENSG00000111452	ENST00000535015
ENSP00000444424	ENSG00000105497	ENST00000545217
ENSP00000463015	ENSG00000177427	ENST00000578174
ENSP00000447686	ENSG00000015153	ENST00000548917
ENSP00000447689	ENSG00000127325	ENST00000552295
ENSP00000453689	ENSG00000137872	ENST00000560006
ENSP00000396020	ENSG00000087053	ENST00000444541
ENSP00000407140	ENSG00000164418	ENST00000436862
ENSP00000407146	ENSG00000135931	ENST00000444285
ENSP00000407145	ENSG00000136449	ENST00000452039
ENSP00000431882	ENSG00000197580	ENST00000525175
ENSP00000313950	ENSG00000178999	ENST00000316199
ENSP00000446489	ENSG00000110955	ENST00000552959
ENSP00000257013	ENSG00000134590	ENST00000257013
ENSP00000446481	ENSG00000166987	ENST00000549623
ENSP00000446480	ENSG00000182979	ENST00000550551
ENSP00000446487	ENSG00000166704	ENST00000547828
ENSP00000469971	ENSG00000171649	ENST00000598689
ENSP00000469978	ENSG00000142230	ENST00000600753
ENSP00000448937	ENSG00000175203	ENST00000546758
ENSP00000395640	ENSG00000123643	ENST00000429484
ENSP00000448933	ENSG00000151746	ENST00000551848
ENSP00000448939	ENSG00000161791	ENST00000550424
ENSP00000391730	ENSG00000131148	ENST00000435200
ENSP00000462332	ENSG00000133195	ENST00000583715
ENSP00000446153	ENSG00000090612	ENST00000541975
ENSP00000456477	ENSG00000186073	ENST00000569302
ENSP00000456471	ENSG00000086696	ENST00000566838
ENSP00000463018	ENSG00000134265	ENST00000582472
ENSP00000482353	ENSG00000111639	ENST00000543164
ENSP00000446159	ENSG00000188735	ENST00000540377
ENSP00000446158	ENSG00000162144	ENST00000544118
ENSP00000448680	ENSG00000139405	ENST00000552495
ENSP00000448685	ENSG00000169372	ENST00000548483
ENSP00000448689	ENSG00000139625	ENST00000547035
ENSP00000448688	ENSG00000127328	ENST00000547055
ENSP00000385742	ENSG00000187546	ENST00000407277
ENSP00000395990	ENSG00000182095	ENST00000440081
ENSP00000438292	ENSG00000166535	ENST00000539547
ENSP00000454301	ENSG00000121281	ENST00000566761
ENSP00000449088	ENSG00000088986	ENST00000552870
ENSP00000423234	ENSG00000113593	ENST00000505380
ENSP00000449086	ENSG00000092841	ENST00000549017
ENSP00000449080	ENSG00000062485	ENST00000548746
ENSP00000449081	ENSG00000186049	ENST00000552855
ENSP00000448660	ENSG00000111596	ENST00000547867
ENSP00000474419	ENSG00000161249	ENST00000492341
ENSP00000474418	ENSG00000259034	ENST00000605191
ENSP00000474411	ENSG00000035115	ENST00000481932
ENSP00000424227	ENSG00000127415	ENST00000509948
ENSP00000357852	ENSG00000154473	ENST00000368859
ENSP00000441682	ENSG00000131467	ENST00000545225
ENSP00000394510	ENSG00000126464	ENST00000418929
ENSP00000467356	ENSG00000225190	ENST00000589780
ENSP00000391284	ENSG00000144567	ENST00000452022
ENSP00000390460	ENSG00000118513	ENST00000430686
ENSP00000449334	ENSG00000258150	ENST00000549950
ENSP00000449332	ENSG00000184613	ENST00000551601
ENSP00000449333	ENSG00000187109	ENST00000547479
ENSP00000398617	ENSG00000180043	ENST00000424985
ENSP00000398614	ENSG00000061938	ENST00000416152
ENSP00000449338	ENSG00000139220	ENST00000548586
ENSP00000457704	ENSG00000256825	ENST00000540096
ENSP00000485364	ENSG00000230549	ENST00000529559
ENSP00000485367	ENSG00000187024	ENST00000416214
ENSP00000457707	ENSG00000135720	ENST00000566150
ENSP00000485361	ENSG00000136854	ENST00000496504
ENSP00000442488	ENSG00000119655	ENST00000541064
ENSP00000457702	ENSG00000103260	ENST00000568415
ENSP00000419998	ENSG00000083937	ENST00000471660
ENSP00000442484	ENSG00000157837	ENST00000536996
ENSP00000419993	ENSG00000143851	ENST00000476061
ENSP00000413936	ENSG00000115539	ENST00000416255
ENSP00000419991	ENSG00000205981	ENST00000486355
ENSP00000459560	ENSG00000103365	ENST00000562944
ENSP00000484017	ENSG00000265808	ENST00000618538
ENSP00000459564	ENSG00000140983	ENST00000563134
ENSP00000459565	ENSG00000179409	ENST00000576778
ENSP00000455414	ENSG00000007516	ENST00000561793
ENSP00000450813	ENSG00000050130	ENST00000554795
ENSP00000389799	ENSG00000138031	ENST00000435135
ENSP00000236017	ENSG00000117362	ENST00000236017
ENSP00000254636	ENSG00000132305	ENST00000254636
ENSP00000394798	ENSG00000106771	ENST00000413712
ENSP00000312773	ENSG00000168256	ENST00000316082
ENSP00000450269	ENSG00000182979	ENST00000494981
ENSP00000453351	ENSG00000185787	ENST00000559690
ENSP00000392912	ENSG00000068024	ENST00000446876
ENSP00000392911	ENSG00000168883	ENST00000442708
ENSP00000255325	ENSG00000132972	ENST00000255325
ENSP00000354764	ENSG00000143603	ENST00000361147
ENSP00000428086	ENSG00000132294	ENST00000519656
ENSP00000287507	ENSG00000103507	ENST00000287507
ENSP00000401480	ENSG00000100075	ENST00000451283
ENSP00000412351	ENSG00000144061	ENST00000418527
ENSP00000480249	ENSG00000151150	ENST00000459732
ENSP00000480245	ENSG00000178104	ENST00000613995
ENSP00000367684	ENSG00000157870	ENST00000378427
ENSP00000480241	ENSG00000276191	ENST00000616225
ENSP00000450160	ENSG00000166987	ENST00000552163
ENSP00000367681	ENSG00000157870	ENST00000378424
ENSP00000396927	ENSG00000119231	ENST00000419026
ENSP00000396923	ENSG00000142192	ENST00000448850
ENSP00000335141	ENSG00000122678	ENST00000335195
ENSP00000415423	ENSG00000106829	ENST00000435650
ENSP00000454473	ENSG00000232653	ENST00000569659
ENSP00000415425	ENSG00000100296	ENST00000455450
ENSP00000457454	ENSG00000149927	ENST00000563125
ENSP00000451412	ENSG00000100749	ENST00000553683
ENSP00000454425	ENSG00000138614	ENST00000567923
ENSP00000451410	ENSG00000100813	ENST00000555566
ENSP00000424907	ENSG00000128050	ENST00000514888
ENSP00000451417	ENSG00000066427	ENST00000554672
ENSP00000454428	ENSG00000166501	ENST00000498058
ENSP00000454429	ENSG00000103248	ENST00000561522
ENSP00000408620	ENSG00000115271	ENST00000414723
ENSP00000411506	ENSG00000170074	ENST00000440605
ENSP00000400286	ENSG00000172354	ENST00000427895
ENSP00000451546	ENSG00000166888	ENST00000553533
ENSP00000376391	ENSG00000172794	ENST00000392615
ENSP00000403638	ENSG00000084453	ENST00000413682
ENSP00000474591	ENSG00000105650	ENST00000598111
ENSP00000421998	ENSG00000151292	ENST00000512718
ENSP00000392003	ENSG00000159263	ENST00000431229
ENSP00000297933	ENSG00000165219	ENST00000297933
ENSP00000474597	ENSG00000183283	ENST00000604900
ENSP00000400753	ENSG00000249590	ENST00000439023
ENSP00000380053	ENSG00000213921	ENST00000396841
ENSP00000465248	ENSG00000069812	ENST00000487437
ENSP00000465249	ENSG00000102858	ENST00000593224
ENSP00000385017	ENSG00000179915	ENST00000401669
ENSP00000452140	ENSG00000100811	ENST00000553625
ENSP00000483290	ENSG00000124074	ENST00000602409
ENSP00000452145	ENSG00000089737	ENST00000555054
ENSP00000483296	ENSG00000275730	ENST00000613090
ENSP00000483299	ENSG00000271447	ENST00000615136
ENSP00000463950	ENSG00000108465	ENST00000579175
ENSP00000463951	ENSG00000143183	ENST00000464650
ENSP00000463957	ENSG00000271425	ENST00000583866
ENSP00000463955	ENSG00000104904	ENST00000582888
ENSP00000420113	ENSG00000109689	ENST00000473519
ENSP00000420112	ENSG00000133619	ENST00000485033
ENSP00000463959	ENSG00000170921	ENST00000580466
ENSP00000420117	ENSG00000107537	ENST00000479604
ENSP00000307903	ENSG00000138382	ENST00000308099
ENSP00000377275	ENSG00000173230	ENST00000393667
ENSP00000427769	ENSG00000133872	ENST00000518296
ENSP00000427768	ENSG00000104728	ENST00000522435
ENSP00000427765	ENSG00000155970	ENST00000519044
ENSP00000427767	ENSG00000147679	ENST00000517820
ENSP00000427766	ENSG00000269556	ENST00000507237
ENSP00000483123	ENSG00000276061	ENST00000611200
ENSP00000427762	ENSG00000169398	ENST00000520828
ENSP00000425695	ENSG00000112855	ENST00000509299
ENSP00000425692	ENSG00000136436	ENST00000509415
ENSP00000425698	ENSG00000006283	ENST00000514181
ENSP00000413212	ENSG00000169432	ENST00000454569
ENSP00000413211	ENSG00000089472	ENST00000419594
ENSP00000357445	ENSG00000163346	ENST00000368460
ENSP00000428348	ENSG00000170873	ENST00000523179
ENSP00000428349	ENSG00000102225	ENST00000523344
ENSP00000428346	ENSG00000163116	ENST00000522676
ENSP00000428344	ENSG00000183137	ENST00000521522
ENSP00000428345	ENSG00000104419	ENST00000520230
ENSP00000393832	ENSG00000219607	ENST00000405617
ENSP00000357448	ENSG00000163346	ENST00000368463
ENSP00000390485	ENSG00000184154	ENST00000440313
ENSP00000381099	ENSG00000183765	ENST00000398017
ENSP00000388722	ENSG00000057935	ENST00000433553
ENSP00000395368	ENSG00000167792	ENST00000415352
ENSP00000436924	ENSG00000132780	ENST00000470768
ENSP00000436927	ENSG00000174483	ENST00000524705
ENSP00000436928	ENSG00000066855	ENST00000527155
ENSP00000395362	ENSG00000151090	ENST00000431815
ENSP00000387805	ENSG00000152082	ENST00000457492
ENSP00000459918	ENSG00000072864	ENST00000572967
ENSP00000459913	ENSG00000189067	ENST00000574703
ENSP00000459910	ENSG00000260873	ENST00000574270
ENSP00000456139	ENSG00000103091	ENST00000563111
ENSP00000482655	ENSG00000278809	ENST00000622579
ENSP00000426416	ENSG00000240682	ENST00000496163
ENSP00000456137	ENSG00000166847	ENST00000568589
ENSP00000456131	ENSG00000125107	ENST00000562046
ENSP00000456132	ENSG00000102854	ENST00000563651
ENSP00000426413	ENSG00000177058	ENST00000512208
ENSP00000355478	ENSG00000203666	ENST00000366521
ENSP00000485007	ENSG00000130332	ENST00000587502
ENSP00000397109	ENSG00000168894	ENST00000414390
ENSP00000430448	ENSG00000197948	ENST00000518499
ENSP00000424125	ENSG00000150625	ENST00000505375
ENSP00000424122	ENSG00000138758	ENST00000502401
ENSP00000424120	ENSG00000150471	ENST00000506700
ENSP00000424121	ENSG00000129116	ENST00000504519
ENSP00000460360	ENSG00000262611	ENST00000574192
ENSP00000430442	ENSG00000111879	ENST00000521531
ENSP00000460363	ENSG00000108518	ENST00000572383
ENSP00000347133	ENSG00000099968	ENST00000355028
ENSP00000430445	ENSG00000169045	ENST00000523136
ENSP00000430446	ENSG00000104613	ENST00000523846
ENSP00000424129	ENSG00000138646	ENST00000508159
ENSP00000303108	ENSG00000170419	ENST00000302287
ENSP00000342566	ENSG00000006740	ENST00000340825
ENSP00000342564	ENSG00000119711	ENST00000350259
ENSP00000376637	ENSG00000017427	ENST00000392904
ENSP00000376638	ENSG00000017427	ENST00000392905
ENSP00000476763	ENSG00000128789	ENST00000585331
ENSP00000392072	ENSG00000110628	ENST00000449793
ENSP00000408283	ENSG00000070087	ENST00000423691
ENSP00000408282	ENSG00000100038	ENST00000457270
ENSP00000408284	ENSG00000167703	ENST00000412517
ENSP00000408289	ENSG00000181061	ENST00000430190
ENSP00000382543	ENSG00000100350	ENST00000366463
ENSP00000414295	ENSG00000149532	ENST00000413184
ENSP00000414298	ENSG00000188938	ENST00000423591
ENSP00000386044	ENSG00000140264	ENST00000402131
ENSP00000389097	ENSG00000144357	ENST00000439681
ENSP00000323353	ENSG00000151116	ENST00000320750
ENSP00000389090	ENSG00000110958	ENST00000456859
ENSP00000460985	ENSG00000140750	ENST00000573765
ENSP00000460980	ENSG00000029725	ENST00000574568
ENSP00000389098	ENSG00000185499	ENST00000438413
ENSP00000460983	ENSG00000174238	ENST00000576722
ENSP00000459003	ENSG00000141198	ENST00000572298
ENSP00000459007	ENSG00000099385	ENST00000572628
ENSP00000466204	ENSG00000108639	ENST00000589168
ENSP00000431714	ENSG00000084072	ENST00000470213
ENSP00000422407	ENSG00000006283	ENST00000514717
ENSP00000431711	ENSG00000149256	ENST00000530738
ENSP00000422404	ENSG00000073578	ENST00000515815
ENSP00000466208	ENSG00000141622	ENST00000587853
ENSP00000431718	ENSG00000023445	ENST00000527309
ENSP00000432355	ENSG00000179526	ENST00000532536
ENSP00000432358	ENSG00000176302	ENST00000533282
ENSP00000371362	ENSG00000152620	ENST00000381937
ENSP00000433403	ENSG00000179950	ENST00000533162
ENSP00000433405	ENSG00000213619	ENST00000534208
ENSP00000433404	ENSG00000123444	ENST00000529499
ENSP00000433406	ENSG00000172409	ENST00000529430
ENSP00000433408	ENSG00000175482	ENST00000531239
ENSP00000470088	ENSG00000105393	ENST00000598567
ENSP00000470089	ENSG00000183760	ENST00000601531
ENSP00000431510	ENSG00000174744	ENST00000524699
ENSP00000470086	ENSG00000268790	ENST00000593459
ENSP00000470087	ENSG00000268643	ENST00000594664
ENSP00000470081	ENSG00000105698	ENST00000599625
ENSP00000478659	ENSG00000154529	ENST00000617422
ENSP00000478658	ENSG00000175764	ENST00000487468
ENSP00000463187	ENSG00000167733	ENST00000579559
ENSP00000463186	ENSG00000176809	ENST00000580464
ENSP00000463189	ENSG00000167851	ENST00000577511
ENSP00000420923	ENSG00000168685	ENST00000505875
ENSP00000420926	ENSG00000138668	ENST00000509263
ENSP00000478656	ENSG00000278088	ENST00000620741
ENSP00000471933	ENSG00000079462	ENST00000594989
ENSP00000431517	ENSG00000182866	ENST00000482949
ENSP00000284563	ENSG00000154380	ENST00000284563
ENSP00000429752	ENSG00000170873	ENST00000522162
ENSP00000429750	ENSG00000145864	ENST00000517547
ENSP00000429756	ENSG00000143303	ENST00000519086
ENSP00000387395	ENSG00000131374	ENST00000428355
ENSP00000387394	ENSG00000068745	ENST00000453202
ENSP00000470338	ENSG00000104888	ENST00000600601
ENSP00000471684	ENSG00000198131	ENST00000600220
ENSP00000471687	ENSG00000111639	ENST00000543703
ENSP00000471686	ENSG00000160113	ENST00000596878
ENSP00000471689	ENSG00000173480	ENST00000597515
ENSP00000471688	ENSG00000090932	ENST00000596614
ENSP00000353638	ENSG00000155846	ENST00000360453
ENSP00000435768	ENSG00000168679	ENST00000467986
ENSP00000435766	ENSG00000172977	ENST00000533596
ENSP00000435764	ENSG00000166928	ENST00000526375
ENSP00000435765	ENSG00000087365	ENST00000524475
ENSP00000387021	ENSG00000196290	ENST00000409588
ENSP00000435763	ENSG00000149091	ENST00000524448
ENSP00000387023	ENSG00000136535	ENST00000410035
ENSP00000466976	ENSG00000072062	ENST00000590853
ENSP00000466975	ENSG00000152234	ENST00000589252
ENSP00000466974	ENSG00000104892	ENST00000589837
ENSP00000475307	ENSG00000215271	ENST00000606731
ENSP00000462270	ENSG00000141736	ENST00000584099
ENSP00000436151	ENSG00000150433	ENST00000529530
ENSP00000462272	ENSG00000169738	ENST00000582900
ENSP00000403089	ENSG00000077380	ENST00000422646
ENSP00000462275	ENSG00000161960	ENST00000585024
ENSP00000462276	ENSG00000169683	ENST00000577638
ENSP00000436158	ENSG00000135373	ENST00000527935
ENSP00000451350	ENSG00000165782	ENST00000554028
ENSP00000403080	ENSG00000130414	ENST00000444548
ENSP00000451355	ENSG00000100628	ENST00000557613
ENSP00000403085	ENSG00000108654	ENST00000450599
ENSP00000435491	ENSG00000236287	ENST00000534690
ENSP00000435494	ENSG00000198561	ENST00000529873
ENSP00000435495	ENSG00000087365	ENST00000524627
ENSP00000392747	ENSG00000115053	ENST00000417652
ENSP00000428800	ENSG00000221914	ENST00000523925
ENSP00000428803	ENSG00000178922	ENST00000470662
ENSP00000428802	ENSG00000104419	ENST00000518480
ENSP00000428806	ENSG00000072786	ENST00000520476
ENSP00000428809	ENSG00000132549	ENST00000521559
ENSP00000408504	ENSG00000154556	ENST00000419063
ENSP00000406561	ENSG00000136527	ENST00000414862
ENSP00000406565	ENSG00000151835	ENST00000455470
ENSP00000406569	ENSG00000106415	ENST00000414914
ENSP00000408509	ENSG00000189410	ENST00000447746
ENSP00000405031	ENSG00000157017	ENST00000425479
ENSP00000405033	ENSG00000196655	ENST00000434101
ENSP00000402027	ENSG00000085721	ENST00000429751
ENSP00000405034	ENSG00000196345	ENST00000447279
ENSP00000446011	ENSG00000155974	ENST00000536215
ENSP00000446016	ENSG00000168004	ENST00000538712
ENSP00000472657	ENSG00000161652	ENST00000600293
ENSP00000472653	ENSG00000197756	ENST00000427280
ENSP00000461617	ENSG00000104825	ENST00000576510
ENSP00000447868	ENSG00000139220	ENST00000552948
ENSP00000461615	ENSG00000103222	ENST00000572882
ENSP00000461611	ENSG00000262327	ENST00000573706
ENSP00000465729	ENSG00000108679	ENST00000585407
ENSP00000465728	ENSG00000131944	ENST00000590179
ENSP00000465725	ENSG00000131477	ENST00000588576
ENSP00000468536	ENSG00000141030	ENST00000583160
ENSP00000465722	ENSG00000167680	ENST00000586965
ENSP00000465721	ENSG00000167642	ENST00000587516
ENSP00000465720	ENSG00000132535	ENST00000486626
ENSP00000427927	ENSG00000108848	ENST00000513969
ENSP00000419047	ENSG00000114416	ENST00000491674
ENSP00000419046	ENSG00000168811	ENST00000466512
ENSP00000422737	ENSG00000134058	ENST00000514676
ENSP00000399855	ENSG00000114331	ENST00000423531
ENSP00000419049	ENSG00000168297	ENST00000479241
ENSP00000422730	ENSG00000159692	ENST00000504784
ENSP00000434175	ENSG00000118096	ENST00000534156
ENSP00000434172	ENSG00000224712	ENST00000526520
ENSP00000434173	ENSG00000014138	ENST00000525924
ENSP00000427920	ENSG00000155511	ENST00000518142
ENSP00000358499	ENSG00000116815	ENST00000369487
ENSP00000379398	ENSG00000160746	ENST00000396091
ENSP00000447941	ENSG00000076108	ENST00000549884
ENSP00000447940	ENSG00000205352	ENST00000549740
